03-05, Pit, Southern Kitchen, Seasoned Scrambled Eggs, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Spring Break Smoothie, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Strawberry Banana Smoothie, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Peachy Keen Smoothie, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Endless Summer Smoothie, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Orange Cream Dream Smoothie, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Apples, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Oranges, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Bananas, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Romaine Lettuce, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Chopped Iceberg Lettuce, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Field Greens, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Baby Spinach, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Couscous, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Barley, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Shrimp Orzo Salad, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Greek Chickpea Salad, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Grape Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Shredded Carrots, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Sliced Cucumber, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Broccoli Florets, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Cauliflower Florets, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Mushrooms, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, French Fried Onions, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Goldfish (R) Crackers, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Seasoned Croutons, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Sunflower Seeds, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Greens & Grains, Pumpkin Seeds, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Ranch Dressing, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Honey Mustard Dressing, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Caesar Dressing, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Balsamic Vinaigrette, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Blue Cheese Dressing, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Honey Berry Vinaigrette, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Housemade Dressings, Creamy Herbed Vinaigrette Dressing, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Sliced Grilled Chicken, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Flaked Salmon, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Diced Fried Tofu, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Fresh Mozzarella, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Shredded Cheddar Cheese, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Chopped Hard-Cooked Egg, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Feta Cheese, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Cottage Cheese, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Mandarin Oranges, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Edamame, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Green Peas, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Roasted Sweet Potatoes, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Roasted Asparagus, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Black Bean & Corn Salad, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Yellow Bell Peppers, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Sliced Bell Peppers, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Sliced Red Onions, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Sliced Beets, Lunch (11am-2:15pm)
03-05, Pit, Performance Dining - Proteins & More Greens, Red Cabbage, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, 2% Milk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Skim Milk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Chocolate Milk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Brewed Coffee, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Madagascar Vanilla Coffee Creamer, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Salted Caramel Coffee Creamer, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Cinnamon Churro Coffee Creamer, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Uproot Oatmilk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Uproot Chocolate Peamilk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Uproot Soymilk, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Tractor Beverage Strawberry Dragonfruit, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Tractor Beverage Mango, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Tractor Beverage Farmer's Punch, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Rice Chex Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Cheerios Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Lucky Charms Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Froot Loops Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Apple Jacks Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Cinnamon Toast Crunch Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Rice Krispies, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Cocoa Puffs, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Raisin Bran Cereal, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Vanilla Soft Serve Ice Cream, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Chocolate Soft Serve Ice Cream, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Vanilla Frozen Yogurt, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Chocolate Frozen Yogurt, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Golden Malted Waffle, Lunch (11am-2:15pm)
03-05, Pit, Self Serve Options, Pancake & Waffle Syrup, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Venezuelan Roasted Chicken, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen, Roasted Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen, Tostones, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen, Venezuelan Black Beans, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen, Cilantro Lime White Rice, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Seasoned Corn, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Smoked Garlic Chipotle Aioli, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Queso Fresco, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Fresh Cilantro, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Lime Wedges, Dinner (4:30pm-9pm)
03-05, Pit, Southern Kitchen Corner, Housemade Tajin, Dinner (4:30pm-9pm)
03-05, Pit, Allgood, Herb Roasted Turkey, Dinner (4:30pm-9pm)
03-05, Pit, Allgood, Baked Sweet Potato, Dinner (4:30pm-9pm)
03-05, Pit, Allgood, Roasted Italian Vegetables, Dinner (4:30pm-9pm)
03-05, Pit, Allgood, Sauteed Kale & Spinach, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Beef Taco Filling, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Crunchy Taco Shell, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Black Bean & Roasted Corn Salsa, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Pico de Gallo, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Avocado, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Jalapeno Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Romaine, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Creation Station, Vegan Mozzarella Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Fresh Fruit Salad, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Mandarin Oranges, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Blueberries, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Sliced Strawberries, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Sunflower Seeds, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Fresh Mint, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Honey, Dinner (4:30pm-9pm)
03-05, Pit, Allgood - Salad Bar, Chia Seeds, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Asian Seared Tofu, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Vegetable Fried Rice, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Miso Stewed Eggplant, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Vegetarian Spring Roll, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Vegan Sriracha Mayo, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Sweet Thai Chili Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Asian Slaw, Dinner (4:30pm-9pm)
03-05, Pit, Vegan Station, Curried Cauliflower Soup, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Chef's Special, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Signature Burger, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Fresh Cut Fries, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Beyond Burger Patty, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Turkey Burger Patty, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Gardenburger Black Bean Patty, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, American Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Sliced Swiss Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Sliced Pepperjack Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Leaf Lettuce, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Sliced Red Onions, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Dill Pickle Slices, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Chipotle Mayonnaise, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Ranch Dressing, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Pico de Gallo, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Whole Grain Mustard, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Jalepeno Pepper Pimento Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Bacon Onion Jam, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Old-Fashioned Coleslaw, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Dill Pickle Spears, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Pickled Red Onion, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Pickled Carrot, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Pickled Okra, Dinner (4:30pm-9pm)
03-05, Pit, Black & Gold Grill, Pickled Cucumber & Tomato Salad, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Chicken Tinga, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Charro Beans, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Southwestern Rice, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Fajita Vegetables, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Shredded Iceberg Lettuce, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Diced Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Pico de Gallo, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Jalapeno Peppers, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Sliced Black Olives, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Avocado, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Sour Cream, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Salsa Verde, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Salsa Roja, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Fresh Cilantro, Dinner (4:30pm-9pm)
03-05, Pit, International Grill, Flour Tortilla, Dinner (4:30pm-9pm)
03-05, Pit, International Grill - Continued, Chili Con Carne, Dinner (4:30pm-9pm)
03-05, Pit, International Grill - Continued, White Cheese Sauce, Dinner (4:30pm-9pm)
03-05, Pit, International Grill - Continued, Black Beans with Cumin, Dinner (4:30pm-9pm)
03-05, Pit, International Grill - Continued, Tri-Color Tortilla Chips, Dinner (4:30pm-9pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Philly Cheesesteak Pizza, Dinner (4:30pm-9pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Caprese Pizza, Dinner (4:30pm-9pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Fennel & Sausage Pizza, Dinner (4:30pm-9pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Pepperoni Pizza, Dinner (4:30pm-9pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Cheese Pizza, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Flatbread, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Seasoned Cauliflower Pizza Crust, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Marinara Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Crumbled Sausage, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Pepperoni, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Flatbread Pizza, Shredded Mozzarella Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Today's Pasta Specials, Baked Penne with Meat Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Today's Pasta Specials, Antipasto Salad, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Whole Grain Penne Pasta, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Cavatappi, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Linguine, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Gluten Free Penne Pasta, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Marinara Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Homemade Alfredo Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Bolognese Sauce, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Basil Pesto, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Butter, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Minced Garlic, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Diced Seasoned Chicken, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Crumbled Sausage, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Crumbled Chorizo Sausage, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Pepperoni, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Diced Tofu, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Mussels, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Baby Spinach, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Broccoli Florets, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Diced Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Sweet Corn, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Green Peas, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Edamame, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Sliced Black Olives, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Diced Yellow Onion, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Roasted Red Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Artichoke Hearts, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Sun-Dried Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Mushrooms, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Shredded Parmesan Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Pastabilities, Breadsticks, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Fresh Cracked Scrambled Egg, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Cage Free Egg Whites, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Crumbled Sausage, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Crumbled Chorizo Sausage, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Diced Ham, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Real Bacon Pieces, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Shredded Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Steamed Diced Red Potatoes, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Feta Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Broccoli Florets, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Baby Spinach, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Mushrooms, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Diced Mixed Bell Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Fire-Roasted Salsa, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Diced Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Pico de Gallo, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Diced Yellow Onion, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Sliced Black Olives, Dinner (4:30pm-9pm)
03-05, Pit, Create Your Own Omelette, Jalapeno Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Freshly Made Hot Bowl Of..., Creamy Corn Chowder, Dinner (4:30pm-9pm)
03-05, Pit, Freshly Made Hot Bowl Of..., Chicken Noodle Soup, Dinner (4:30pm-9pm)
03-05, Pit, Deli Specials, Antipasto Salad, Dinner (4:30pm-9pm)
03-05, Pit, Deli Specials, Old-Fashioned Coleslaw, Dinner (4:30pm-9pm)
03-05, Pit, Deli Specials, Balsamic Marinated Grape Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Turkey Breast, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Virginia Ham, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Roast Beef, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Salami, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Deli Pepperoni, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Cheddar Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Pepperjack Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Provolone Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Leaf Lettuce, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Baby Spinach, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Tomatoes, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Cucumber, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Red Onions, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Dill Pickle Slices, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Bell Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Banana Peppers, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Sliced Black Olives, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Avocado, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Hummus, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Basil Pesto, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Honey Mustard Dressing, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Mayonnaise, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Chipotle Mayonnaise, Dinner (4:30pm-9pm)
03-05, Pit, Marketplace Deli, Signature Chips, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, White Bread Slice, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Wheat Bread Slice, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Multigrain Bread Slice, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Rye Bread Slice, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Ciabatta Roll, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Spinach and Herb Tortilla, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Tomato Basil Wrap, Dinner (4:30pm-9pm)
03-05, Pit, Select Breads, Flour Tortilla, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Plain Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Whole Wheat Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Blueberry Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Cinnamon Raisin Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Sesame Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Everything Bagel, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Orange Marmalade, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Strawberry Preserves, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Sun Butter, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Whipped Cream Cheese, Dinner (4:30pm-9pm)
03-05, Pit, Bagel Station, Whipped Butter, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Cantaloupe, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Honeydew Melon, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Pineapple, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Red Grapefruit, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Seedless Raisins, Dinner (4:30pm-9pm)
03-05, Pit, Chobani Yogurt And Fruit, Housemade Cinnamon-Honey Granola, Dinner (4:30pm-9pm)
